Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
A340-300,Aerolineas Argentinas,Business Class,Jul-15,5th July 2015,1,1,2,Poland,2,no,"Flight was delayed 1 hr due to late arrival from Buenos Aires. I used Alitalia Lounge in Terminal 3, modern, large, with limited food options (salads, sandwiches, desserts). I was one of the first to board the plane, so I had to wait almost 30 mins to get any drink/welcome drink, without asking for it, FAs started to give drinks only after boarding was finished. Seat was ok, not full flat, but quite comfy. IFE very poor, only 5 channels available, showing only 2 movies in Spanish/English version, no Air Show with a map available, so had no idea about flight time etc. Cabin crew were nice and smiling, quite senior and during breakfast service, looking very tired and grumpy. Disappointing menu - I was expecting some local dishes from Argentina, some beef etc, and I got green salad with parma ham, risotto or pork with ratatuille or ravioli. I tried first two - all tasted the same, bland, boring, over cooked. No cocktail service at all, as only whisky is available. Good wines. Service in business class is very old fashioned, reminds me service from the 90s, nothing modern as for plating, food presentation, menu etc. Dirty toilet in Business Class. Breakfast started 2 hrs before landing, again - boring tray with fruit salad, yoghurt, bread roll and almost shapeless croissaint, jam and hot omlet with... carrots. Horrible. Generally, very poor business class product. No PA from pilots for whole flight. Not recommended.",FCO to EZE,3,3,aerolineas-argentinas,Aerolineas Argentinas customer review,Business,,2,0,f1c672f5-ebb8-4f23-ba7a-a029e5218dfd
ATR 72-500,Air Algerie,Economy Class,May-16,13th May 2016,0,1,1,Poland,1,no,"✅ , |  Air Algerie is the worst airline I have flown. Algiers-Ghardaia flight: one flight attendant, not speaking English, smallest pack of cookies to eat. Algiers to Timimoun flight (2nd May 16) cancelled, due to sandstorm - OK, but no other proposal given, had to fight to get rebooked to Adrar, 9 hours at the airport waiting. Timimoun to Oran flight od 4th May 16 - at the airport nobody knows if the aircraft will come and take passengers, not to mention that nobody knows when. 3 hours delay. Of course at the airport you can not buy anything to eat or drink (not even a bottle of water), just sit and wait. Nothing to eat onboard as well, not even peanuts nor cookies. Altogether over 6 hours with no food. Oran to Algiers flight the same day - the same situation. Nobody knows in Oran if the aircraft will depart today nor when. At the time of scheduled departure we took a taxi to Algiers not to risk missing the flight to Europe (fortunately with Lufthansa). Aircraft (ATRs 72 and B737) are old, very used, dirty. The seat covers are sticky of dirt, seat pockets full of old crumbs and rubbish. If you wish an inflight magazine, you should buy business class ticket, as it is non-existant in economy class.",TMX to ORA,1,2,air-algerie,aircraft are old and dirty,Business,,1,0,b3a088e6-5921-4c5b-9b19-64ed2ca4b2c6
A330,Air Algerie,Economy Class,Dec-15,22nd December 2015,0,3,1,UnitedKingdom,2,no,"I returned on the flight from Algiers to London Heathrow on the 20th December - the flight was over 3 hours late it was scheduled to take of at 10.20am, however 2 hours later no sign of taking off, no information given for the delay, no refreshments offered and worst no apologies specially since the staff where hovering around passengers like zombies. Anyway 2 hours later a call on the speakers said that all Air Algerie passengers should go to gate 16 for an immediate take off which was at the other end off the airport - everybody rushed to the gate thinking that we will be on air in few minutes. When we got there was a long queue and no sign of the aircraft the staff where sitting there like zombies and there was no explanation offered for the delay - about an hour later a very painful and very slow gate checking process started. Still no information on the delay however by that time it was too late anyway, the transfer to the aircraft was by bus and I waited to the last moment to present myself to the gate desk to avoid stuck in the queues unnecessarily. The waiting in the bus was like for ever and to make matters worst it seems the bus did the tour of Algiers to get us to the aircraft because it was at the other end of the runway. When I got in the aircraft I asked why the delay and I was told it was due to the baggage handlers strike. I asked why didn't Air Algerie offer any information, explanation, refreshments or apologies I was told that even the staff didn't know as they where told to carry on with their duties. Still nobody apologised until take off by the captain which was at around 13.30pm. I have championed Air Algerie over other carriers like British Airways but I am extremely disappointed and to add insult to injury I have paid £50.00 more than traveling with British Airways for the same journey. I can promise you that I will not fly with Air Algerie ever again.",London to Algiers,1,2,air-algerie,will not fly Air Algerie again,Family Leisure,,2,0,946c90f7-001c-4a46-90fd-8fd401e9a40e
Boeing 737,Air Algerie,Economy Class,Jun-15,20th June 2015,0,2,1,Vietnam,3,no,"My  flight on 1st June from Algiers to Lisboa (Portugal) was a nightmare. The check in was extremely slow and the sequence of spot check was complicated. All forms were in French and fortunately I knew some words, but most of the guests got confused. The aircraft was very old and food was lousily prepared. The toilet was like a public non-cleaned toilet for years. Seats were not comfortable and some could not be reclined. But the captain and crew were nice, particularly since they knew I was from Vietnam and they talked in both french and english nicely. Appreciated when they found the lost wallet of my friend. ",Algiers to Lisbon,1,3,air-algerie,Air Algerie customer review,Business,,2,0,a6a4085c-7820-4e73-b6de-e57bffb0670c
,Aerolineas Argentinas,Economy Class,,4th June 2015,4,4,0,Spain,7,yes,AEP-MTV short 30 min flight. Check in at aeroparque was fast no lines for security line. Boarding by bus 20 min delay no explanation given. Once on board nice FA nice service and arrival nearly on time. Bags short on belt. Good option on this route.,,4,4,aerolineas-argentinas,Aerolineas Argentinas customer review,,,4,0,bd9ebc90-001a-4831-b9df-a83c8d03bcb4
,Aerolineas Argentinas,Economy Class,,31st May 2015,0,3,0,Argentina,9,yes,Flight BHI-AEP-BHI August 2014 with Aerolineas Argentinas. A domestic flight both of only 1 hour. Crew were friendly and polite. Catering service was just OK. Aircraft were old but still comfortable (both B737). Both flights on time.,,4,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,4,0,d6ff542d-c323-4c08-98cb-9d42aae86d49
,Aerolineas Argentinas,Economy Class,,11th May 2015,1,3,0,UnitedStates,3,no,I was very disappointed with Aerolineas Argentinas. The seats are very uncomfortable they do not have enough space between them vertically. My husband is 6 feet tall and his legs were touching the front seat he had no space to move them. I am 5'5 and was also uncomfortable. It was a long flight almost 9 hours and the TV screens did not function properly. Mine had no image whatsoever. My husband's screen had image but no sound. No entertainment at all for almost 9 hours is ridiculous. We had to take a second flight from Buenos Aires to Bahia Blanca and the flight was delayed 2 hours. On our return from Buenos Aires to Miami the flight was also delayed this time for 1 hour. Even tough the prices of Aerolineas Argentinas are lower I would never use it again or recommended to anybody. I have taken the same flight route with American Airlines and LAN and they are much better. Next time I rather pay more for the tickets and have a more pleasant and comfortable flight.,,1,2,aerolineas-argentinas,Aerolineas Argentinas customer review,,,2,0,ea01aa25-7bba-4f3e-9f92-54bd5d5f5125
,Aerolineas Argentinas,Business Class,,30th April 2015,3,4,0,UnitedStates,5,yes,"AR 1303 April 23rd and AR 1302 April 26th. We were looking for a reasonable Business Class fare from Miami to Buenos Aires we were amazed at how much less expensive Aerolineas was than the other carriers that we checked and were worried that it might be due to an inferior flight experience but decided that since were only flying down for three days to attend a wedding he had to go for it. Well I'm happy to report that with Aerolineas Argentinas you don't ""get what you pay for"" you get much more. The plane we took was an elderly Airbus that was a bit tattered (especially the bathrooms) but the seats were lie-flat and comfortable the food was above average (much better than American) and the flight attendants were cheerful professional and happy to help with a smile unlike the surly overweight lazy tenured FAs on most U.S. legacy carriers. I would fly Aerolineas again.",,5,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,5,0,40bfa1ba-2b81-4c65-85d4-b89217a77f6c
,Aerolineas Argentinas,Business Class,,9th March 2015,4,5,0,UnitedStates,10,yes,We flew business class (club condor) from JFK on Feb 21 and returned on Feb 28. Great experience. Airbus 330-200 was clean and comfortable. Both flights left on time. Crews were first-rate. Great bargain. Highly recommend it.,,5,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,5,0,036839c5-a836-4cf1-9870-525499a23a13
,Aerolineas Argentinas,Economy Class,,24th February 2015,3,2,0,Argentina,1,no,"We flew on A330 EZE-JFK-EZE seats are too closed to each other I'm 5 9 tall and had problems with my legs this is what happen when airlines prefer only profit instead of customer service + profit EZE-JFK was 1 hour delayed and JFK-EZE 45mins delayed. Ground staff in both airports terrible neither courteous nor willing to help you. My greatest concern is flight attendants: most of the cabin crew and I mean 90% were rude they got angry if you requested a glass of water or soda (even though you walk to the aft galley to do so). During dinner one female flight attendant offered me chicken or pasta I asked her what kind of pasta and sauce she told me: ""sir I'm not the chef who cooked the meals"".",,1,1,aerolineas-argentinas,Aerolineas Argentinas customer review,,,2,0,4184ef04-34c8-4d2c-9f5f-6a255a93283a
B767-300,Air Algerie,Economy Class,Apr-15,16th June 2015,0,5,4,France,8,yes,"Lille to Algiers. The flight has been delayed (2hrs), but the Air Algerie's airport workers gave us some sandwiches and soft drinks to apologize for the delay, a good point. The cabin crew were very professional. The aircraft (B767) was clean and in a good shape. The meal was excellent. Tea, coffee, and soft drinks have been served inflight. We landed smoothly at Algiers. The ticket price was good, and includes in it 30kg of luggage. A very good experience with Air Algerie.",Lille to Algiers,4,5,air-algerie,Air Algerie customer review,Solo Leisure,,4,0,6eced186-685e-4109-b43d-b4f17b5ad11f
,Air Algerie,Economy Class,,3rd March 2014,0,0,0,Italy,4,yes,ALG-CDG-ALG Dep 14/01/14 Ret 21/01/14. Very nice trip with my wife and my son (2 years old). No delay B737-800 sky interior not very clean and the cabin crew are not professional. Very good meals and wine. The price was cheap (450 euros for 2 adults and 1 child).,,0,0,air-algerie,Air Algerie customer review,,,0,0,6410887a-c898-458a-abc1-4eb1ce2d9653
,Air Algerie,Economy Class,,3rd March 2014,0,0,0,Brazil,,no,Had a scheduled flight from Algiers to Annaba at 10.30 and a return flight at 17.30hrs. Algiers to Annaba 4 hour delay no explanation no assistance was supplied. Annaba to Algires 2.30 hours delay no explanation no assistance was supplied. Old and dirty planes FA's neither friendly or helpful. Ground staff very unfriendly did not speak English either.,,0,0,air-algerie,Air Algerie customer review,,,0,0,945cd786-114b-43c2-92f0-e35cd1357de7
,Air Algerie,Business Class,,14th August 2013,0,0,0,Belgium,1,no,Flight Paris CDG - Algiers. Flight was more than 3 hours late and no explanations were given by the Air Algerie ground staff. The aircraft was old and very dirty. Food was still on my seat. Cabin crew were very unprofessional and not friendly at all. Food was ok. Only one toilet was in service. I will never fly again with Air Algerie.,,0,0,air-algerie,Air Algerie customer review,,,0,0,273bb8b8-47d1-4f9f-a64a-fdab5078dd59
,Air Algerie,Economy Class,,28th May 2013,4,4,0,France,8,yes,Paris to Algiers then to Ouagadougou and back. Overall I found this airline good value for money: they are cheap and offer minimal service. The aircraft's were old but kept in a good state except for the washrooms which were disgusting. Seats were rather comfortable. On the Algiers-Ouagadougou leg 1st class seating was attributed randomly to economy passengers. The meals were excellent even on the shorter Paris-Algiers flights. The food is halal but wine is available. Of my 4 flights only one was late by about one hour. No information whatsoever was given while we were waiting but the crew apologised once we were let in.,,4,4,air-algerie,Air Algerie customer review,,,4,0,0fb8f720-3881-48af-a0a2-79ca85196b34
,Air Algerie,Economy Class,,12th November 2012,0,3,0,Germany,9,yes,"Nov 1 Algiers-Ghardaia by ATR 72. 1 hrs late departure due to late arrival of the aircraft. Confusing as destination ""Oran"" was shown at the departure gate. Flight full. Some biscuits water and a soft drink was provided. Announcements in French and Arabic only. It is a domestic flight but on arrival and departure immigration has to been cleared. Return Nov 3 Flight on-time long wait for the luggage in Algiers because of a parking problem. Airline recommended as flying is better than 10 hrs by bus.",,3,3,air-algerie,Air Algerie customer review,,,5,0,f24c5bd4-c58f-4950-ad94-0b6e0095d283
,Aerolineas Argentinas,Economy Class,,19th January 2015,3,2,0,UnitedStates,1,no,Picked flight based on price. Flight from Miami to Buenos Aires was delayed by 6 hours and then canceled until the next day due to mechanical problem with plane. Re-booked on flight the next day. Luggage did not arrive in Buenos Aires for four days. Return flight delayed by 3+ hours resulting in missed connection. (All flights including connections on Delta were booked through Aerolineas Argentinas.) No help from Miami staff re-booking connection on partner? Delta. Ground staff in Miami sent us to the Delta counter to figure it out for ourselves. Delta would not rebook without us paying for new flight ourselves. Went back to Aerolineas Argentinas counter to find them closed until that evenings flight. Ended up renting car and driving 13 hours home.,,3,1,aerolineas-argentinas,Aerolineas Argentinas customer review,,,1,0,1616d4ff-f7a6-4672-8708-f506e0d85eb9
,Aerolineas Argentinas,Business Class,,14th January 2015,4,5,0,UnitedStates,8,yes,December 22nd 2014. MSP-JFK-EZE-FTE. Flew Club Condor. Others in our party of 5 flew coach. We had the full Monty flying Aerolineas. But the staff handled us well. Flight out left on time but no accommodations for Sky Priority passengers. Charge the gate at JFK was more like it. The food was very good. Service is prompt in that every flight attendant worked to get the job done so they could disappear. We liked how they gave us 3 options for our meals. The ice cream for desert and/or cheese plate were fantastic. And it is true they don't offer mixed drinks. For water they gave us a bottle for the over night flight. Breakfast was again very prompt well presented and the crew when prompted did go the extra step. On the return our child's vegetarian meal was missing. The crew promptly reviewed the menu and told us additional items we could choose from. For the return our flight was changed to add a stop at BRC. At which time we were notified our return to JFK was delayed from 11 pm to 6 am. Sky Priority line did nothing to help us here. We had to suffer with the rest. However they did rebook our last segment with Delta for us and effectively communicated to the crew in JFK to assist us and they did! They offered us a hotel and dinner in EZE. As we missed our JFK connection back to MSP they put us up in NYC and paid for dinner there as well. We turned down the offer for the hotel room in EZE and were able to sleep in the Club Condor Lounge. This is easily better than most First Class Lounges I have seen. Aerolineas in my opinion did much more than Delta United or American would have done for us. Our kids got to spend time touring NYC for the night. Our only downside was the plane could have been cleaner. Sad for a new A330-200. Here the domestic carriers do a better job. For the price we paid on for the ticket and what we got it was well worth it. When this airline makes mistakes they make up for it.,,4,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,5,0,6b595637-44b6-4a55-9aae-80dfeb766c1b
,Aerolineas Argentinas,Economy Class,,22nd December 2014,1,4,0,UnitedKingdom,10,yes,Flew four times over the course of a month internally around Argentina (EZE-El Calafate El Calafate-Trelew Trelew-EZE EZE-Iguazu) and was very happy with service. Check in was prompt and staff were friendly and bilingual. Never experienced any delays in fact we were actually moved forward from a 6 hour change at EZE to a flight departing 5 hours sooner for no extra charge. Snacks and drinks served in all flights and despite the 737-7 seats being noticeably more cramped and less comfortable than the -800 I'd certainly recommend.,,3,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,4,0,14e3618f-8d81-4804-bca8-9937a234d37a
,Aerolineas Argentinas,Economy Class,,10th December 2014,4,2,0,UnitedStates,,no,EZE-JFK. The flight was supposed to leave at 11pm. A maintenance issue on the plane but the airline did not announce a delay / cancellation until the boarding time. First the departure time was delayed to midnight and then to 2am. Finally at 1:45am they announced that flight was cancelled. Passport control was closed. Also there were no baggage claim staff. Aerolineas Argentinas decided to reschedule the flight to 6:10am (7+ hour delay vs. original time). After changing the gate and the plane the boarding started at 6.45am and flight left at 7:30am. This airline is terrible. They don't care at all about service.,,1,1,aerolineas-argentinas,Aerolineas Argentinas customer review,,,1,0,f4f80044-0b38-440c-afe6-f762e560a1b4
,Aerolineas Argentinas,Premium Economy,,10th December 2014,0,3,0,Bermuda,8,yes,I flew with a friend on the 3 December in Club Economy from Buenos Aires to Bariloche with a return booking for 9 December. The aircraft was a brand new Boeing 737-800 and the 2 by 2 sets in the forward Club Economy very comfortable and done in soft leather. A small snack was served by very friendly cabin staff and all was well until the beverage cart rolled by and we asked for some Malbec wine and were told that Aerolineas do not serve wine on domestic flights! One can imagine my surprise that after paying USD $992 per ticket that the flag carrier of Argentina which grows some of the world's finest wines does not showcase this product onboard-they did not even give us the option to purchase wine on a two hour flight! We will be returning to Buenos Aires on LAN.,,5,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,3,0,71a340e4-6a0c-4e39-b008-30fe4cca1ccd
,Air Algerie,Economy Class,,1st July 2012,0,0,0,UnitedArabEmirates,1,no,DXB-ALG. 4 hours delay without explanation and they didn't give us anything for this. The aircraft (A330) was pretty old the bathrooms were disgusting and the plane was dirty! Very poor service on-board and cabin crews are not professional. The food was not appealing. The overall service was very poor!,,0,0,air-algerie,Air Algerie customer review,,,4,0,2bd13212-0460-4d80-a357-667edb25d3ad
,Air Algerie,Economy Class,,10th May 2012,0,0,0,Belgium,2,no,BRU-ALG-BRU. Both flight were late - more than 4 hours on the return flight. Food on board is average. The plane was not very clean and looks old. Personal friendly but not very helpful in the airport.,,0,0,air-algerie,Air Algerie customer review,,,1,0,760976e7-bc84-4bcf-8cfc-63aa0530805e
,Air Algerie,Economy Class,,1st April 2012,0,0,0,UnitedKingdom,1,no,London Heathrow to Algiers on an old 767. Cabin crew are simply not professional food wasn't appealing and toilets were filthy.,,0,0,air-algerie,Air Algerie customer review,,,1,0,fd858eaf-1bd4-4c37-b21c-f5a114ccf26e
,Air Algerie,Economy Class,,9th December 2011,0,0,0,Germany,7,yes,Frankfurt to Annaba this Summer return. The age of the plane from FFM to Alger was pretty old. The Alger- Annaba flight the same. On the return both planes were new. There was no delay. Service on the ground and onboard is ok. Food was excellent even during Ramadan. Take care at the Airport especially on the way from the international to the domestic Airport in Alger! Don't give anybody your papers except if you are sure they are really officials.,,0,0,air-algerie,Air Algerie customer review,,,4,0,436d8463-33f6-4a61-ab1b-c1bf33900634
,Air Algerie,Economy Class,,17th September 2011,0,0,0,France,1,no,ALG-MRS. 3 hours delay and no explanation. Only drinks were offered for this 1hr 10mins international flight. Flight attendants are really not professional.,,0,0,air-algerie,Air Algerie customer review,,,1,0,f7a88ffc-b781-4ad6-8d3f-5d6ed3f7f2a4
,Aerolineas Argentinas,Economy Class,,10th December 2014,1,4,0,Singapore,8,yes,For this short 100 min flight from Mendoza to Buenos Aires the economy seat on the 737-700 had plenty leg room and they even served a small lunch box which impressed me. Just beware that row 6 which was behind me has no window. I would not want to be in that seat!,,4,4,aerolineas-argentinas,Aerolineas Argentinas customer review,,,5,0,df49270f-5bc0-4aa3-8702-97fbde92753c
,Aerolineas Argentinas,Business Class,,28th October 2014,3,3,0,Argentina,7,yes,Flew on Oct 21st from Ezeiza to Miami on AR 1304. Equipment was Airbus 330-200. Traveled in Business Class (Seat 5d) Check in service was very friendly and efficient. Business class lounge was spacious and comfortable and serviced by attentive staff. Boarding was very good and through a separate jet way from other cabin. Welcome on board was very friendly and helpful. Seats are flat but at an angle; very uncomfortable and I kept on sliding downwards. Inflight entertainment was good in terms of equipment but mediocre as far as programming both audio and video. Unfortunately the only WC in business class was out of order so we had to use filthy economy class lavatories. Not good.,,3,4,aerolineas-argentinas,Aerolineas Argentinas customer review,,,4,0,f2d395e8-86a1-46e8-944c-8ef176c02b05
,Aerolineas Argentinas,Business Class,,12th October 2014,4,3,0,Canada,7,yes,I flew from JFK to EZE on October 2/14. The flight left on time and arrived on time. I travelled in Club Condor. The service was friendly and efficient. New A330 aircraft. The Club Condor seat was an inclined flat seat. I found the seat to be hard and the angle for sleep was not comfortable. I put the seat into a cradle configuration and was able to relax more and sleep for several hours. The food needs improvement - presentation taste and variety were all lacking and considering the price paid to sit upfront I expected better. The entertainment system was good. There were a lot of movies to chose from. There were several places to charge my devices. I would fly with Aerolineas again.,,3,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,4,0,729737e7-5793-4bcc-bb22-8f9b54e6e23d
,Aerolineas Argentinas,Economy Class,,26th August 2014,1,2,0,UnitedStates,2,no,I flew MIA-EZE-MIA round trip on Aerolineas Argentinas (AeroA) December 24 2013 returning January 7 2014. I bought the ticket online but their website is not set up to allow you to select your seat. So I called their 800 number in the US. I called for 3 days several times each day before someone answered the phone. This agent's English was so bad it took 20 minutes to select my seats. EZE airport check-in at Buenos Aires is chaos. On AeroA all passengers for the MIA flight stood in a single line to be checked-in for only that flight. The same for other flights. We found this out by asking other passengers what to do as there were no AeroA employees or announcement boards present. There were long long lines of passengers snaking through the terminal. Check-in was so slow we were concerned we would miss our flight even though we arrived 2 hours early. It didn't matter though because our flight was delayed 3 hours on a crystal-clear morning. When we arrived at MIA 3 hours late the AeroA gate agents had gone home and there was no one to help us with rebooking our connections to Chicago. The planes both ways were run-down and old on the inside. On the way down a ceiling panel rattled the entire 9 hours. The entertainment system did not work either direction. The flight attendants only appeared 4 times in 9 hours: to serve drinks after takeoff to serve and collect dinner serve and collect breakfast and hand out immigration and customs forms. My advice: 1) Do not fly Aerolineas Argentinas for any reason even if you have to change your travel plans to avoid them or pay more on another airline. 2) If you are unlucky enough to use them and have to fly out of Buenos Aires EZE airport arrive 3 hours early and prepare for the slowest and most disorganized check-in procedure you have ever experienced. 3) If you do not speak Spanish then you will receive only limited customer service on the phone and their web site is primitive. 4) Prepare yourself for old tatty airplanes with no working entertainment system and largely-invisible flight attendants.,,2,1,aerolineas-argentinas,Aerolineas Argentinas customer review,,,2,0,3b320176-adb7-49f9-be77-306976758b91
,Aerolineas Argentinas,Economy Class,,29th July 2014,4,5,0,Argentina,10,yes,Travelled from Madrid to Buenos Aires in May as the starting point of my South-American holidays. Reasonable prices and a remarkably good service all along the flight. There was a wide range of food to choose including delightful Argentinean beef. Check-in was fast and simple and the flight had no delays at all.,,4,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,5,0,4c599f87-72f1-49e9-9b21-bb620a4cfef0
,Air Algerie,Economy Class,,3rd September 2011,0,0,0,France,9,yes,LYS-ORN. Clean and new aircraft FA's could be a little more professional. Nice complete meal. I am used to taking this airline to go to Algeria and it is really improving.,,0,0,air-algerie,Air Algerie customer review,,,4,0,ba6136ab-286b-4fe5-b70c-30cd0bd1902a
,Air Algerie,Economy Class,,4th July 2011,0,0,0,Morocco,6,yes,ALG-AAE. The flight to Annaba took 1hr and was uneventful. Air Algerie will always serve you a drink and a close an eye to your baggage allowance which is good. But service is non-descript and like many airlines of North Africa when there is a problem there is nobody to speak to and nobody is responsible for anything. So when flying them have lots of time on your hand patience and a good book. Their prices are usually good especially for domestic flights. Would fly them again but as I said it is nothing memorable.,,0,0,air-algerie,Air Algerie customer review,,,4,0,b5d88ab3-4090-43be-98fc-8bcc447372e8
,Air Algerie,Business Class,,3rd July 2011,0,0,0,Italy,9,yes,TUN-ALG in the new 737-800NG (Business Class) a very good trip no delay good meat (champagne before take off). On time at Algiers clean cabin a very large seat and big space not like Air France or Alitalia in Business Class.,,0,0,air-algerie,Air Algerie customer review,,,4,0,bfb01853-8d81-4c5e-8a29-ad553e727ad2
,Air Algerie,,,27th October 2008,0,0,0,,3,no,NIM to YUL. Planes were new and clean (B737-800 and A330) on time crew was friendly and helpful. I had a stop in Algiers for 5 hours the staff at Algiers Airport were friendly too. A very good experience and the cheapest prices. Reading experiences from others it seems like I was lucky.,,0,0,air-algerie,Air Algerie customer review,,,0,0,7666aa40-4aee-4b81-bd5d-0ec2e1b9031b
,Air Algerie,,,3rd April 2007,0,0,0,,,no,Algiers to London the flight was fine save for the lack of information in English. Lunch wasnt great and the toilet was messy. Aircraft was a newish 737.,,0,0,air-algerie,Air Algerie customer review,,,0,0,9cb184ba-6d5a-4fdf-9ac8-694d07ebd122
,Air Algerie,,,1st October 2006,0,0,0,,,no,I have decided to give up on Air Algerie after waiting nearly 3 days for a flight from Heathrow with 2 small children. The airline is a joke - you have to wait at least 3 hours before they tell you your not flying. We had 2 pay for my 2 young children nearly the full fare and then was told to give up a seat as they had overbooked. I am not from Algeria my husband is though - Algeria is like my second home. I feel that the Air Algerie gives the country a bad name - it should pull its socks up and start following the other airlines.,,0,0,air-algerie,Air Algerie customer review,,,0,0,c9c6bd3d-8159-4824-82cf-2f9e468eb44e
,Air Algerie,,,11th September 2006,0,0,0,,,no,I am an Algerian living the south East of England for last 24 years. My family and I use to fly Air Algerie from London to Algiers about twice a year. The service and the London office became so bad that it was almost impossible to buy a ticket. When Air Algerie was the only airline flying to Algeria people had to travel to London to buy their tickets. In the last few years more European airlines started to fly to Algeria. A lot of Algerians living in the UK prefer to fly Algeria via a connecting flight (Rome Milan and Paris) than flying with Air Algerie. The price of the ticket was in most cases more expensive. More recently BA started flying to Algiers from London and this provide us an alternative option. My family and most of our friends fly with BA with travelling to London. I think Air Algerie provides better food than BA but the FA on the BA flights project a more professional image.,,0,0,air-algerie,Air Algerie customer review,,,0,0,693d678a-76ef-48ba-9e55-9ffa9bdd8601
,Aerolineas Argentinas,Economy Class,,4th June 2014,0,3,0,Spain,7,yes,Montevideo-Aeroparque-Asunción. I have to say that there is an improvement in the service. Still there are delays and poor customer service on the ground. But on board there are new and comfortable planes and nice and attentive FA. Connecting in Aeroparque (Buenos Aires city airport) is always fast and easy. First leg delayed connection on time. Bags arrived at my destination with me.,,4,4,aerolineas-argentinas,Aerolineas Argentinas customer review,,,3,0,f56cdd61-515b-4a70-8bbc-818796cffa1c
,Aerolineas Argentinas,Business Class,,22nd April 2014,3,1,0,UnitedStates,3,no,I always fly American Airlines first class in my trip JFK-EZE-JFK. I decided to try the business class (club condor) with Aerolineas Argentinas. I regret to says that the business class of American Airlines is much better. The seat at the club condor are ok not flat bed but ok. We were welcomed with orange juice a cheap champagne and candies. The menu says only one appetizer (no choice) and 3 main courses. Two options are for the breakfast time. The whole experience with the catering was horrible. From the presentation to the quality the food did not respond to a business class. Do not expect to have any cocktails since they only have wine beer and whisky. The dessert was a piece of rock (ice cream) and we received hard croissant and bread in our breakfast. The returning flight did not even have all three dinner options and the food was horrible as well. I wonder how do they plan to compete with such a horrible presentation. They do not provide you with the custom forms for USA.,,3,3,aerolineas-argentinas,Aerolineas Argentinas customer review,,,3,0,8b7b6a59-3814-429b-980e-686ecc8aec8d
,Aerolineas Argentinas,Premium Economy,,15th April 2014,5,5,0,Brazil,10,yes,Even though Aerolineas Argentinas has received too many complaints from customers recently my flight from Sao Paulo Brazil to Buenos Aires Argentina on March 1 2014 in Premium Economy Class was great and I have no complaints. The flight was on schedule the flight crew were polite and helpful. Aerolineas Argentinas' premium economy class is the same as most US companies' domestic first class. The seats are J seats very comfortable and the food in this class was also a great sandwich yoghurt and a chocolate muffin. Compared to service in the same route provided by Brazilian companies I have flown and comparing also the price Aerolineas Argentinas Premium Economy class is far better in service and mainly in seat comfort!,,5,5,aerolineas-argentinas,Aerolineas Argentinas customer review,,,5,0,d7da0825-bdc2-4d9d-b866-d28612c203c4
,Aerolineas Argentinas,Economy Class,,14th April 2014,1,2,0,UnitedStates,2,no,MIA-EZE and return Dec. 24 2013 - Jan. 3 2014. A below-average airline. Their website is so primitive it is impossible to reserve seats. Their toll-free number is not manned 24 hours a day astonishing. On our plane to Buenos Aires none of the in-flight video worked for the entire flight. There was a loose panel in the ceiling over an aisle and it rattled the whole 9 hours. The food was mediocre even by airline standards. The flight attendants were businesslike but disinterested. The plane was only about 1/2 full but the FA's were often nowhere to be seen. Our flight back was 3 hours late leaving EZE after a chaotic check-in at the filthy Ezezia airport. At Ezezia you do not stand in one line for all flights and go to the next available agent. Instead there are separate lines for each flight no indication of which line you should stand in and the agents appear when they feel like it. There was no explanation for the delay and no apologies. If you have any other option for flying between the US and Argentina I would take it.,,2,1,aerolineas-argentinas,Aerolineas Argentinas customer review,,,2,0,86c523f3-1a52-4c2c-8e5d-1e72910fcff9
,Aerolineas Argentinas,Economy Class,,10th April 2014,0,0,0,Netherlands,8,yes,Rio to Buenos Aires AEP on 737. Departure delayed by 30min and arrival to AEP slightly behind schedule. Plane in good condition (must say that the new livery looks better than the old one). Sandwich and drink offered during flight. Crew fine. AEP is easy to navigate. Luggage (priority tagged as FB Elite) arrived fairly quickly and first on band. Was dreading flying AR but flight was overall fine. Planning to fly them long haul in C class from Spain in May.,,3,4,aerolineas-argentinas,Aerolineas Argentinas customer review,,,4,0,4950c8f4-8b30-44af-a7bf-731bdd746703
